Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3500105;Interior;Adamantina;2976;92;;;
3500204;Interior;Adolfo;457;11;;;
3500303;Interior;Aguaí;2606;85;;;
3500402;Interior;Águas da Prata;524;22;;;
3500501;Interior;Águas de Lindóia;1658;36;;;
3500550;Interior;Águas de Santa Bárbara;369;12;;;
3500600;Interior;Águas de São Pedro;283;7;;;
3500709;Interior;Agudos;3394;77;;;
3500758;Interior;Alambari;502;10;;;
3500808;Interior;Alfredo Marcondes;228;10;;;
3500907;Interior;Altair;159;12;;;
3501004;Interior;Altinópolis;806;39;;;
3501103;Interior;Alto Alegre;332;19;;;
3501152;Interior;Alumínio;1328;39;;;
3501202;Interior;Álvares Florence;438;13;;;
3501301;Interior;Álvares Machado;1709;52;;;
3501400;Interior;Álvaro de Carvalho;148;9;;;
3501509;Interior;Alvinlândia;134;7;;;
3501608;Interior;Americana;19583;592;;;
3501707;Interior;Américo Brasiliense;3579;83;;;
3501806;Interior;Américo de Campos;829;24;;;
3501905;Interior;Amparo;5622;129;;;
3502002;Interior;Analândia;302;4;;;
3502101;Interior;Andradina;5638;233;;;
3502200;Interior;Angatuba;2407;58;;;
3502309;Interior;Anhembi;239;5;;;
3502408;Interior;Anhumas;205;4;;;
3502507;Interior;Aparecida;2186;84;;;
3502606;Interior;Aparecida d'Oeste;702;12;;;
3502705;Interior;Apiaí;1221;67;;;
3502754;Interior;Araçariguama;1537;53;;;
3502804;Interior;Araçatuba;24030;717;;;
3502903;Interior;Araçoiaba da Serra;2291;54;;;
3503000;Interior;Aramina;284;11;;;
3503109;Interior;Arandu;428;12;;;
3503158;Interior;Arapeí;197;3;;;
3503208;Interior;Araraquara;19378;416;;;
3503307;Interior;Araras;14736;330;;;
3503356;Interior;Arco-Íris;128;6;;;
3503406;Interior;Arealva;823;13;;;
3503505;Interior;Areias;264;1;;;
3503604;Interior;Areiópolis;1105;16;;;
3503703;Interior;Ariranha;533;18;;;
3503802;Interior;Artur Nogueira;4119;111;;;
3503901;RMSP (exceto capital);Arujá;6881;267;;;
3503950;Interior;Aspásia;131;4;;;
3504008;Interior;Assis;9876;326;;;
3504107;Interior;Atibaia;9989;232;;;
3504206;Interior;Auriflama;1768;65;;;
3504305;Interior;Avaí;328;9;;;
3504404;Interior;Avanhandava;816;29;;;
3504503;Interior;Avaré;8757;191;;;
3504602;Interior;Bady Bassitt;2940;67;;;
3504701;Interior;Balbinos;340;4;;;
3504800;Interior;Bálsamo;1477;58;;;
